"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-08-03 00:00:00",46,10,53.714285714285715,
"2019-08-04 00:00:00",44,9,51.714285714285715,
"2019-08-05 00:00:00",35,7,48.142857142857146,
"2019-08-06 00:00:00",55,11,51.285714285714285,
"2019-08-07 00:00:00",37,15,53,
"2019-08-08 00:00:00",41,13,53.285714285714285,
"2019-08-09 00:00:00",49,11,54.714285714285715,
"2019-08-10 00:00:00",53,11,55.857142857142854,
"2019-08-11 00:00:00",33,8,54.142857142857146,
"2019-08-12 00:00:00",39,13,55.57142857142857,
"2019-08-13 00:00:00",37,9,52.714285714285715,
"2019-08-14 00:00:00",37,9,51.857142857142854,
"2019-08-15 00:00:00",41,12,51.714285714285715,
"2019-08-16 00:00:00",44,12,51.142857142857146,
"2019-08-17 00:00:00",46,9,49.857142857142854,
"2019-08-18 00:00:00",43,12,51.857142857142854,
"2019-08-19 00:00:00",30,17,51.142857142857146,
"2019-08-20 00:00:00",37,4,50.42857142857143,
"2019-08-21 00:00:00",42,17,52.285714285714285,
"2019-08-22 00:00:00",44,9,52.285714285714285,
"2019-08-23 00:00:00",56,13,54.142857142857146,
"2019-08-24 00:00:00",33,8,52.142857142857146,
"2019-08-25 00:00:00",44,12,52.285714285714285,
"2019-08-26 00:00:00",31,11,51.57142857142857,
"2019-08-27 00:00:00",29,3,50.285714285714285,
"2019-08-28 00:00:00",44,12,49.857142857142854,
"2019-08-29 00:00:00",41,15,50.285714285714285,
"2019-08-30 00:00:00",36,8,46.714285714285715,
"2019-08-31 00:00:00",34,12,47.42857142857143,
"2019-09-01 00:00:00",35,14,46.42857142857143,
"2019-09-02 00:00:00",41,6,47.142857142857146,
"2019-09-03 00:00:00",34,14,49.42857142857143,
"2019-09-04 00:00:00",34,8,47.42857142857143,
"2019-09-05 00:00:00",41,9,46.57142857142857,
"2019-09-06 00:00:00",39,16,48.142857142857146,
"2019-09-07 00:00:00",40,11,48.857142857142854,
"2019-09-08 00:00:00",45,12,50,
"2019-09-09 00:00:00",41,10,50.57142857142857,
"2019-09-10 00:00:00",43,10,51.285714285714285,
"2019-09-11 00:00:00",52,10,54.142857142857146,
"2019-09-12 00:00:00",52,12,56.142857142857146,
"2019-09-13 00:00:00",21,11,52.857142857142854,
"2019-09-14 00:00:00",43,15,53.857142857142854,
"2019-09-15 00:00:00",42,12,53.42857142857143,
"2019-09-16 00:00:00",42,10,53.57142857142857,
"2019-09-17 00:00:00",52,17,55.857142857142854,
"2019-09-18 00:00:00",35,10,53.42857142857143,
"2019-09-19 00:00:00",40,14,52,
"2019-09-20 00:00:00",33,10,53.57142857142857,
"2019-09-21 00:00:00",36,18,53,
"2019-09-22 00:00:00",37,13,52.42857142857143,
"2019-09-23 00:00:00",56,13,54.857142857142854,
"2019-09-24 00:00:00",38,17,52.857142857142854,
"2019-09-25 00:00:00",39,6,52.857142857142854,
"2019-09-26 00:00:00",43,9,52.57142857142857,
"2019-09-27 00:00:00",43,17,55,
"2019-09-28 00:00:00",48,13,56,
"2019-09-29 00:00:00",35,12,55.57142857142857,
"2019-09-30 00:00:00",46,16,54.57142857142857,
"2019-10-01 00:00:00",43,17,55.285714285714285,
"2019-10-02 00:00:00",49,7,56.857142857142854,
"2019-10-03 00:00:00",44,13,57.57142857142857,
"2019-10-04 00:00:00",53,11,58.142857142857146,
"2019-10-05 00:00:00",32,12,55.714285714285715,
"2019-10-06 00:00:00",48,13,57.714285714285715,
